id,name,city,state,website,keep_id,keep_name,keep_city,keep_website,metres
7551,The Peculiar Winery,Peculiar,MO,peculiarwinery.com,7314,The Peculiar Winery,Peculiar,http://www.peculiarwinery.com/,137
12014,West Winery,Macon,MO,,10112,West Winery,Macon,http://www.westwinery.com/,1385
13700,Westphalia Vineyards,Westphalia,MO,http://www.westphaliavineyards.com/,211,Westphalia Vineyards,Westphalia,https://missouriwine.org/wineries/westphalia-vineyards,1528
6553,Wildlife Ridge Winery,Smithton,MO,http://www.wildliferidgewinery.com/,3849,Wildlife Ridge Winery,Smithton,http://wildliferidgewinery.com/,403
10681,Sparrow's Vine,Seeley Lake,MT,https://www.sparrowsvine.org/,1358,Sparrow's Vine,Seeley Lake,https://www.sparrowsvine.org/,433
10835,Cauble Creek Vineyard,Salisbury,NC,http://www.caublecreekvineyard.com,9778,Cauble Creek Vineyard,Salisbury,http://www.caublecreekvineyard.com,2426
9519,Silver Fork Winery,Morganton,NC,http://silverforkwinery.com/,4390,Silver Fork Winery,Morganton,http://www.silverforkwinery.com/,123
1152,Tunnel Creek Vineyards,Roxboro,NC,http://tunnelcreekvineyards.com/,915,Tunnel Creek Vineyards,Roxboro,https://tunnelcreekvineyards.com/,849
4011,Feather River Vineyard,North Platte,NE,http://www.feather-river.com/,2191,Feather River Vineyard,North Platte,http://www.feather-river.com,1128
10287,James Arthur Vineyards,Raymond,NE,http://www.jamesarthurvineyards.com/,2086,James Arthur Vineyards,Raymond,http://www.jamesarthurvineyards.com,450
12285,Niobrara Valley Vineyards,Nenzel,NE,http://www.nvv-ne.com/,12075,Niobrara Valley Vineyards,Nenzel,http://www.nvvsandhills.com/Home.aspx,1008
14169,Whipple Tree Winery,Tamworth,NH,,11359,Whippletree Winery,Tamworth,http://www.whippletreewinery.com/,951
14081,Dimatteo Vineyards,Hammonton,NJ,http://dimatteovineyards.com/,13612,Dimatteo Vineyards,Hammonton,http://www.dimatteowinery.com/,619
4798,Laurita Winery,New Egypt,NJ,https://lauritawinery.com/,1666,Laurita Winery,New Egypt,https://lauritawinery.com,543
7101,Valenzano Winery,Shamong Twp,NJ,http://www.winefestnj.com/,789,Valenzano Winery,Shamong Twp,https://www.purplepass.com/events/340514-mother-s-day-picnic-craft-fair-may-10th-2026,2459
12585,Villa Milagro Vineyards,Phillipsburg,NJ,http://villamilagrovineyards.com/,10343,Villa Milagro Vineyards,Phillipsburg,https://www.villamilagrovineyards.com/,610
4854,Westfall Winery,Montague,NJ,http://www.westfallwinery.com/,1595,Westfall Winery,Montague,http://westfallwinery.com,482
3459,La Chiripada Winery,Dixon,NM,http://www.lachiripada.com/,2362,La Chiripada Winery,Dixon,http://www.lachiripada.com,135
7679,Boundary Breaks,Lodi,NY,http://boundarybreaks.com,1614,Boundary Breaks,Lodi,https://boundarybreaks.com/,463
5809,Brooklyn Winery,Brooklyn,NY,http://www.bkwinery.com/,3985,Brooklyn Winery,New York,http://www.bkwinery.com/,953
11276,Brooklyn Winery,Brooklyn,NY,http://www.bkwinery.com/,3985,Brooklyn Winery,New York,http://www.bkwinery.com/,722
3429,Casa Larga Vineyards,Fairport,NY,https://www.casalarga.com/,2324,Casa Larga Vineyards,Fairport,https://www.casalarga.com,763
5235,Castel Grisch Winery,Watkins Glen,NY,http://Castelgrisch.com/,3873,Castel Grisch Winery,Watkins Glen,http://www.castelgrisch.com,442
11934,Demarest Hill Winery,Warwick,NY,https://demaresthillwinery.com/,7246,Demarest Hill Winery,Warwick,http://www.demaresthillwinery.com/,521
11732,Forge Cellars,Hector,NY,http://www.forgecellars.com,10740,Forge Cellars,Burdett,http://www.forgecellars.com/,2807
5137,high peaks winery,Winthrop,NY,http://highpeakswinery.com,3345,High Peaks Winery,Winthrop,http://www.highpeakswinery.com/,501
11746,Jamesport Vineyards,Riverhead,NY,http://www.jamesport-vineyards.com,9912,Jamesport Vineyards,Jamesport,http://www.jamesportwines.com,1435
2897,Keuka Spring Vineyards,Penn Yan,NY,,9483,Keuka Spring Vineyards,Penn Yan,http://www.KeukaSpringVineyards.com/,478
14226,Kontokosta Winery,Greenport,NY,http://www.kontokostawinery.com/,1871,Kontokosta Winery,Southold,http://www.kontokostawinery.com/,499
1661,Kontokosta Winery,Greenport,NY,,14226,Kontokosta Winery,Greenport,http://www.kontokostawinery.com/,2964
3176,Ryan William Vineyard,Burdett,NY,,11779,Ryan William Vineyard,Burdett,http://www.ryanwilliam.com/,2848
1903,Sheldrake Point Winery,Ovid,NY,http://www.Sheldrakepoint.com/,1023,Sheldrake Point Winery,Ovid,https://www.sheldrakepoint.com,612
7968,Shamrock Vineyard,Waldo,OH,http://www.shamrockvineyard.com,4613,Shamrock Vineyard,Waldo,http://www.ShamrockVineyard.com/,831
7426,Stoney Ridge Winery,Bryan,OH,https://www.stoneyridgewinery.com/,441,Stoney Ridge Winery,Bryan,http://stoneyridgewinery.com/,456
8850,Wine Growers of the Grand River Valley,Madison,OH,https://www.cask307.com/,6020,Wine Growers of the Grand River Valley,Madison,https://www.cask307.com/,2074
10579,The Rusty Nail Winery,Sulphur,OK,http://www.rustynailwinery.com/,8224,Rusty Nail Winery,Sulphur,http://www.rustynailwinery.com/,1130
7773,Abacela Winery,Roseburg,OR,https://www.abacela.com/Visit-Us,5796,Abacela Winery,Roseburg,https://www.abacela.com,890
12720,Abbott Claim,Carlton,OR,https://www.abbottclaim.com/contact-us,4205,Abbott Claim,Carlton,https://abbottclaim.com/,415
12600,Amity Vineyards,Amity,OR,http://amityvineyards.com/,6345,Amity Vineyards,Amity,https://www.amityvineyards.com,718
9996,Analemma Wines,Mosier,OR,http://www.analemmawines.com/,2731,Analemma Wines,Mosier,https://linkin.bio/analemmawines/?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnIXkXySarrKNFDQ7lq_S2D91urVm_h3anBixk9Peno3SqMwJnUdVq3ZGtOO0_aem_oguRI4FqDNq0esGnLK2kcA&utm_medium=social&utm_content=link_in_bio&utm_source=ig,677
4432,Benton-Lane Winery,Monroe,OR,http://www.benton-lane.com/,13384,Benton-Lane Winery,Monroe,http://benton-lane.com/,2683
8624,Benton-lane Winery,Monroe,OR,,13384,Benton-Lane Winery,Monroe,http://benton-lane.com/,2445
12234,Brigadoon Wine Co,Junction City,OR,https://events.humanitix.com/much-ado-brigadoon,3867,Brigadoon Wine Co.,Junction City,http://www.brigadoonwineco.com,667
12864,Cherry Hill Winery,Rickreall,OR,http://www.cherryhillwinery.com/,7690,Cherry Hill Winery,Rickreall,http://cherryhillwinery.com/,599
12134,Colene Clemens Vineyards,Newberg,OR,http://www.coleneclemens.com/,8763,Colene Clemens Vineyards,Newberg,http://www.coleneclemens.com/,872
3655,DANCIN Vineyards,Medford,OR,http://www.dancinvineyards.com/,370,DANCIN Vineyards,Medford,http://www.dancinvineyards.com,461
626,Enso Winery,Portland,OR,,8775,ENSO Winery,Portland,http://www.ensowinery.com/,1831
13743,Emerson Vineyards,Monmouth,OR,http://emersonvineyards.com,8176,Emerson Vineyards,Monmouth,http://www.emersonvineyards.com/,1260
13408,Fairsing Vineyard,Yamhill,OR,http://www.fairsingvineyard.com,3122,Fairsing Vineyard,Yamhill,http://www.fairsingvineyard.com/,1815
10743,Garnier Vineyards,Mosier,OR,https://www.garniervineyards.com/,3890,Garnier Vineyards,The Dalles,http://www.garniervineyards.com/,1380
4785,Ghost Hill Cellars,Carlton,OR,http://www.ghosthillcellars.com,6372,Ghost Hill Cellars,Carlton,http://www.ghosthillcellars.com/,749
10522,Holloran Vineyard Wines,Dundee,OR,http://www.holloranvineyardwines.com,3778,Holloran Vineyard Wines,Dundee,http://www.HolloranVineyardWines.com/,521
8297,Idiot's Grace Wines,The Dalles,OR,http://www.idiotsgrace.com/,5397,Idiot's Grace Wines,Mosier,http://www.idiotsgrace.com/,646
7953,Pebblestone Cellars,Talent,OR,https://pebblestonecellars.biz/,3699,Pebblestone Cellars,Medford,http://www.pebblestonecellars.com,467
2244,purple hands winery,Dundee,OR,http://www.purplehandswine.com,1444,Purple Hands Winery,Newberg,http://www.purplehandswine.com,2348
8450,Purple Hands Winery,Dundee,OR,http://www.purplehandswine.com,1444,Purple Hands Winery,Newberg,http://www.purplehandswine.com,2315
13238,Raptor Ridge Winery,Newberg,OR,http://www.raptorridgewinery.com,3474,Raptor Ridge Winery,Hillsboro,http://www.raptoridge.com,2260
11528,Red Lily Vineyards,Jacksonville,OR,http://www.redlilyvineyards.com,9509,Red Lily Vineyards,Jacksonville,http://www.redlilyvineyards.com,586
14127,Resistance Wine Company,Ashland,OR,http://www.resistancewineco.com/,7418,Resistance Wine Company,Ashland,http://www.resistancewineco.com/,1332
13240,Ribbon Ridge Vineyard,Newberg,OR,http://www.ribbonridge.com,2814,Ribbon Ridge Vineyard,Newberg,http://www.ribbonridge.com/,300
12933,Trium Wines,Talent,OR,http://www.triumwines.com/,3071,Trium Wines,Talent,https://www.triumwines.com,1640
5172,Purple Hands Winery,Dundee,OR,http://www.purplehandswine.com/visit,2244,purple hands winery,Dundee,http://www.purplehandswine.com,2105
11274,Boyds Cardinal Hollow Winery,North Wales,PA,,8263,Boyd's Cardinal Hollow Winery,North Wales,http://www.cardinalHollowWinery.com,1988
12956,Boyd's Cardinal Hollow Winery,Lansdale,PA,http://CardinalHollowWinery.com/,8263,Boyd's Cardinal Hollow Winery,North Wales,http://www.cardinalHollowWinery.com,1937
8979,Broad Mountain Vineyard,Halifax,PA,http://www.broadmountainvineyard.com/,2743,Broad Mountain Vineyard,Elizabethville,http://www.broadmountainvineyard.com,2885
